generation,fitness_min,fitness_mean,fitness_max,fitness_std,labels_entropy,labels_imbalance
85,0.06640625,0.0963671875,0.140625,0.013464442013335302,0.9998550008381685,1.08
86,0.0703125,0.1008203125,0.140625,0.0124595904444315,0.9998550008381684,1.08
87,0.0625,0.0998828125,0.140625,0.015617722914783983,0.9998550008381684,1.08
88,0.0703125,0.099375,0.1484375,0.01445122453721483,0.9998550008381685,1.08
89,0.0546875,0.0990625,0.140625,0.015649590025580543,0.9999202655046178,1.04
90,0.07421875,0.0999609375,0.14453125,0.013050558518190659,0.9998550008381684,1.08
91,0.0625,0.0987109375,0.140625,0.014319003963674247,0.9998550008381684,1.08
92,0.0703125,0.10265625,0.140625,0.014772443862010442,0.9998550008381684,1.08
93,0.05859375,0.09921875,0.1328125,0.015615231321333346,0.9998550008381685,1.08
94,0.06640625,0.1003125,0.14453125,0.01414774509970582,0.9999202655046178,1.04
95,0.06640625,0.100546875,0.1484375,0.01604532307490644,0.9999202655046178,1.04
96,0.05859375,0.100625,0.13671875,0.014596208973779801,0.999789736171719,1.08
97,0.0625,0.1008984375,0.140625,0.014522164078115862,0.9999202655046178,1.04
98,0.0625,0.0996875,0.13671875,0.01564920000950528,0.9998550008381685,1.08
99,0.05859375,0.1026171875,0.13671875,0.014340300766518767,0.9997897361717188,1.08
100,0.0546875,0.097890625,0.15234375,0.015574331910330055,0.9998550008381684,1.08
101,0.0546875,0.099453125,0.1484375,0.015919298736616037,0.9998550008381685,1.08
102,0.05859375,0.0991796875,0.1328125,0.014551974049264543,0.999789736171719,1.08
103,0.05859375,0.1049609375,0.15234375,0.018243943973253664,0.999789736171719,1.08
104,0.05859375,0.098671875,0.13671875,0.01404751806092005,0.9998550008381684,1.08
105,0.0625,0.0996484375,0.14453125,0.016157857375916795,0.9998550008381685,1.08
106,0.06640625,0.0998046875,0.1328125,0.013913873875756842,0.9998550008381685,1.08
107,0.05859375,0.0991015625,0.1484375,0.017317116022138868,0.9998550008381684,1.08
108,0.06640625,0.10140625,0.15625,0.015016673675659667,0.9997244715052694,1.08
109,0.0625,0.100546875,0.1328125,0.0161117541890036,0.9998550008381684,1.08
110,0.06640625,0.0991015625,0.15234375,0.015385419090992248,0.9998550008381684,1.08
111,0.0390625,0.0996875,0.140625,0.01781078665005423,0.999789736171719,1.08
112,0.0625,0.0991015625,0.14453125,0.01584469571573461,0.9998550008381684,1.08
113,0.05859375,0.0991015625,0.1328125,0.015474420914422572,0.9998550008381685,1.08
114,0.0625,0.09984375,0.13671875,0.015392012945030939,0.9998550008381684,1.08
115,0.06640625,0.10046875,0.15234375,0.015200081594147777,0.9997897361717188,1.08
